DATE,LRUN64TTUSM156S
1985-06-01,7.38741209014308
1985-07-01,7.40589436461309
1985-08-01,7.18820487984769
1985-09-01,7.26827493159847
1985-10-01,7.28803876268981
1985-11-01,7.11953124110056
1985-12-01,7.10983071276259
1986-01-01,6.82005251488858
1986-02-01,7.27908091964954
1986-03-01,7.23426855035969
1986-04-01,7.29028952381541
1986-05-01,7.34227194083522
1986-06-01,7.22688296062422
1986-07-01,7.08697903134712
1986-08-01,6.95687516887857
1986-09-01,7.15560293474804
1986-10-01,7.07322489315324
1986-11-01,7.01951865721564
1986-12-01,6.74741226503368
1987-01-01,6.78007329904997
1987-02-01,6.71236595770611
1987-03-01,6.67368670692452
1987-04-01,6.45090854662683
1987-05-01,6.45101136914176
1987-06-01,6.26459837063738
1987-07-01,6.14745224582557
1987-08-01,6.09262742911764
1987-09-01,6.02159990476288
1987-10-01,6.09344085113247
1987-11-01,5.95741939419585
1987-12-01,5.80498063521476
1988-01-01,5.83999506846956
1988-02-01,5.81228642357639
1988-03-01,5.74889674734202
1988-04-01,5.54343612897916
1988-05-01,5.69110825115639
1988-06-01,5.47048003777889
1988-07-01,5.51432364865577
1988-08-01,5.63774518875904
1988-09-01,5.51697658548975
1988-10-01,5.44336096290106
1988-11-01,5.44922036132249
1988-12-01,5.36590573762606
1989-01-01,5.49845214491213
1989-02-01,5.21847442634679
1989-03-01,5.10135072492683
1989-04-01,5.30440513758296
1989-05-01,5.26104793826998
1989-06-01,5.39173613955519
1989-07-01,5.33969086681968
1989-08-01,5.27516868847732
1989-09-01,5.39488009119656
1989-10-01,5.38650612452056
1989-11-01,5.49404301696491
1989-12-01,5.41955423515154
1990-01-01,5.43930701648437
1990-02-01,5.42470968580527
1990-03-01,5.32557385388737
1990-04-01,5.51557805810917
1990-05-01,5.44627198726394
1990-06-01,5.36314018004271
1990-07-01,5.58832024000258
1990-08-01,5.73206985484732
1990-09-01,5.90205304137073
1990-10-01,5.92149933573654
1990-11-01,6.23935203675103
1990-12-01,6.39460062000029
1991-01-01,6.443953992235
1991-02-01,6.72482561521492
1991-03-01,6.92172921909258
1991-04-01,6.8193719209758
1991-05-01,7.01989426310466
1991-06-01,6.93728284231274
1991-07-01,6.8600983253387
